SECURITY_IDENTIFIER,EVENTS,TOTAL_ORDERS,MARKET_ORDERS,LIMIT_ORDERS,PEGGED_ORDERS
20180207,28,11,0,11,0
20180206,26,10,0,10,0
20180205,24,9,0,9,0
5169112,6,2,0,2,0
7744042,11,4,0,4,0
5169113,6,2,0,2,0
1488121,13,4,1,3,0
57753622,20,6,0,6,0
57753620,11,4,0,4,0
3000211,336,168,0,168,0
57753626,24,7,0,7,0
8011000,1,0,0,0,0
57753624,18,6,0,6,0
30180205,18,6,0,6,0
30180206,18,6,0,6,0
9911032,18,6,1,5,0
1488118,13,4,1,3,0
1111036,17,5,1,4,0
1488115,13,4,1,3,0
7744058,16,4,0,4,0
2015031027,1,0,0,0,0
57753618,15,5,0,5,0
57753616,11,4,0,4,0
20171031,2,1,0,1,0
20171030,2,1,0,1,0
20171033,7,3,1,2,0
20171032,2,1,0,1,0
20171034,7,3,1,2,0
7744021,9,2,0,2,0
201701028,45,18,0,18,0
201701027,45,18,0,18,0
201701029,45,18,0,18,0
201701024,45,18,0,18,0
1488065,14,4,1,3,0
201701023,45,18,0,18,0
1488066,14,4,1,3,0
201701026,45,18,0,18,0
1488067,13,4,1,3,0
201701025,45,18,0,18,0
1488068,13,4,1,3,0
1488061,13,4,0,4,0
1488062,13,4,0,4,0
57753604,11,4,0,4,0
201701022,45,18,0,18,0
1488063,13,4,0,4,0
201701021,45,18,0,18,0
1488064,14,4,1,3,0
57753607,11,4,0,4,0
1488060,14,4,0,4,0
20171020,2,1,0,1,0
20171022,2,1,0,1,0
20171021,2,1,0,1,0
20171024,2,1,0,1,0
20171023,2,1,0,1,0
20171026,2,1,0,1,0
20171025,2,1,0,1,0
87776002,21,10,8,2,0
20171028,2,1,0,1,0
20171027,2,1,0,1,0
9014017,10,4,0,4,0
20171029,2,1,0,1,0
1488058,13,4,0,4,0
1488059,13,4,1,3,0
57753681,4,0,0,0,0
1488056,13,4,0,4,0
1488053,13,4,1,3,0
20171017,2,1,0,1,0
20171019,2,1,0,1,0
20171018,2,1,0,1,0
1111006,17,5,1,4,0
7744006,18,6,0,6,0
1488045,19,6,0,6,0
1488046,12,4,1,3,0
20161203,4,2,0,2,0
20161202,12,4,0,4,0
57753660,18,6,0,6,0
201701035,45,18,0,18,0
201701034,45,18,0,18,0
7744018,68,16,0,16,0
57753652,16,6,0,6,0
1123005,5,2,0,2,0
201701031,45,18,0,18,0
1123004,10,4,0,4,0
201701030,45,18,0,18,0
201701033,45,18,0,18,0
1123002,5,2,0,2,0
5339001,12,4,0,4,0
9911083,11,4,0,4,0
9088012,4,2,0,2,0
9088016,2,1,1,0,0
9088015,4,2,0,2,0
57753643,10,3,0,3,0
7744501,6,2,0,2,0
57753644,14,4,0,4,0
7744502,6,2,0,2,0
57753641,10,3,0,3,0
2015031019,9,3,0,3,0
57753642,9,3,0,3,0
4151004,64,20,10,10,0
8013000,6,0,0,0,0
4151005,54,17,9,8,0
20171106,4,2,1,1,0
57753640,9,3,0,3,0
9013004,2,1,0,1,0
1111051,17,5,1,4,0
3000205,11,4,0,4,0
3000209,504,168,0,168,0
